YIL047C;SYG1;DAB responsive;JORGENSEN ORIGINAL LIST
YIL054W;n/a;DAB responsive;JORGENSEN ORIGINAL LIST
YIL110W;n/a;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YIL121W;n/a;DAB responsive;JORGENSEN ORIGINAL LIST
YIL125W;KGD1;DAB responsive;JORGENSEN ORIGINAL LIST
YIL133C;RPL16A;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YIL154C;IMP2';n/a;JORGENSEN ORIGINAL LIST
YIR026C;YVH1;NAM unresponsive;JORGENSEN ORIGINAL LIST
YJL006C;CTK2;DAB responsive;JORGENSEN ORIGINAL LIST
YJL029C;VPS53;DAB responsive;JORGENSEN ORIGINAL LIST
YJL046W;n/a;NAM responsive;JORGENSEN ORIGINAL LIST
YJL063C;MRPL8;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YJL080C;SCP160;DAB unresponsive;JORGENSEN ORIGINAL LIST
YJL086C;YJL086C;n/a;JORGENSEN ORIGINAL LIST
YJL091C;YJL091C;n/a;JORGENSEN ORIGINAL LIST
YJL127C;SPT10;n/a;JORGENSEN ORIGINAL LIST
YJL136C;RPS21B;DAB unresponsive;JORGENSEN ORIGINAL LIST
YJL140W;RPB4;n/a;JORGENSEN ORIGINAL LIST
YJL180C;ATP12;NAM unresponsive;JORGENSEN ORIGINAL LIST
YJL187C;SWE1;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YJL188C;n/a;NAM unresponsive;JORGENSEN ORIGINAL LIST
YJL204C;RCY1;DAB unresponsive;JORGENSEN ORIGINAL LIST
YJL209W;CBP1;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YJR018W;n/a;DAB unresponsive;JORGENSEN ORIGINAL LIST
YJR054W;n/a;DAB responsive;JORGENSEN ORIGINAL LIST
YJR055W;HIT1;DAB intermed responsive;JORGENSEN ORIGINAL LIST
YJR059W;PTK2;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YJR074W;MOG1;DAB hyper responsive;JORGENSEN ORIGINAL LIST
YJR075W;HOC1;DAB unresponsive;JORGENSEN ORIGINAL LIST
YJR113C;n/a;NAM responsive;JORGENSEN ORIGINAL LIST
YJR144W;MGM101;NAM responsive;JORGENSEN ORIGINAL LIST
YJR145C;RPS4A;n/a;JORGENSEN ORIGINAL LIST
YKL009W;MRT4;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YKL023W;n/a;DAB hyper responsive;JORGENSEN ORIGINAL LIST
YKL053W;n/a;DAB responsive;JORGENSEN ORIGINAL LIST
YKL054C;VID31;DAB unresponsive;JORGENSEN ORIGINAL LIST
YKL101W;HSL1;DAB intermed responsive;JORGENSEN ORIGINAL LIST
YKL109W;HAP4;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YKL138C;MRPL31;NAM responsive;JORGENSEN ORIGINAL LIST
YKL143W;LTV1;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YKL165C;MCD4;n/a;JORGENSEN ORIGINAL LIST
YKL169C;n/a;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YKL170W;MRPL38;NAM responsive;JORGENSEN ORIGINAL LIST
YKL180W;RPL17A;n/a;JORGENSEN ORIGINAL LIST
YKL204W;EAP1;DAB hyper responsive;JORGENSEN ORIGINAL LIST
YKR006C;MRPL13;NAM responsive;JORGENSEN ORIGINAL LIST
YKR020W;n/a;n/a;JORGENSEN ORIGINAL LIST
YKR024C;DBP7;n/a;JORGENSEN ORIGINAL LIST
YKR055W;RHO4;DAB responsive;JORGENSEN ORIGINAL LIST
YKR057W;RPS21A;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YLL002W;KIM2;DAB intermed responsive;JORGENSEN ORIGINAL LIST
YLL006W;MMM1;NAM responsive;JORGENSEN ORIGINAL LIST
YLL044W;n/a;NAM responsive;JORGENSEN ORIGINAL LIST
YLL045C;RPL4B;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YLR009W;RLP24;n/a;JORGENSEN ORIGINAL LIST
YLR029C;RPL15A;n/a;JORGENSEN ORIGINAL LIST
YLR032W;RAD5;DAB responsive;JORGENSEN ORIGINAL LIST
YLR048W;RPS0B;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YLR068W;FYV7;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YLR069C;MEF1;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YLR074C;n/a;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YLR114C;n/a;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YLR131C;ACE2;DAB unresponsive;JORGENSEN ORIGINAL LIST
YLR148W;PEP3;NAM responsive;JORGENSEN ORIGINAL LIST
YLR181C;n/a;DAB responsive;JORGENSEN ORIGINAL LIST
YLR182W;SWI6;DAB unresponsive;JORGENSEN ORIGINAL LIST
YLR184W;n/a;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YLR185W;RPL37A;NAM unresponsive;JORGENSEN ORIGINAL LIST
YDL191W;RPL35A;NAM unresponsive;JORGENSEN ORIGINAL LIST
YLR200W;YKE2;DAB intermed responsive;JORGENSEN ORIGINAL LIST
YLR204W;QRI5;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YLR212C;TUB4;n/a;JORGENSEN ORIGINAL LIST
YLR226W;BUR2;DAB unresponsive;JORGENSEN ORIGINAL LIST
YLR233C;EST1;DAB responsive;JORGENSEN ORIGINAL LIST
YLR240W;VPS34;DAB unresponsive;JORGENSEN ORIGINAL LIST
YLR244C;MAP1;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YLR260W;n/a;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YLR264W;RPS33B;NAM responsive;JORGENSEN ORIGINAL LIST
YLR268W;SEC22;DAB responsive;JORGENSEN ORIGINAL LIST
YLR288C;MEC3;NAM responsive;JORGENSEN ORIGINAL LIST
YLR293C;GSP1;n/a;JORGENSEN ORIGINAL LIST
YLR295C;ATP14;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YLR312W;MRPL15;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YLR318W;EST2;DAB unresponsive;JORGENSEN ORIGINAL LIST
YLR320W;n/a;DAB responsive;JORGENSEN ORIGINAL LIST
YLR322W;n/a;n/a;JORGENSEN ORIGINAL LIST
YLR337C;VRP1;DAB unresponsive;JORGENSEN ORIGINAL LIST
YLR338W;KRE21;DAB unresponsive;JORGENSEN ORIGINAL LIST
YLR357W;RSC2;DAB unresponsive;JORGENSEN ORIGINAL LIST
YLR358C;n/a;n/a;JORGENSEN ORIGINAL LIST
YLR382C;NAM2;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YLR386W;n/a;DAB unresponsive;JORGENSEN ORIGINAL LIST
YLR399C;BDF1;DAB unresponsive;JORGENSEN ORIGINAL LIST
YLR402W;n/a;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YLR403W;SFP1;NAM responsive;JORGENSEN ORIGINAL LIST
YLR418C;CDC73;DAB unresponsive;JORGENSEN ORIGINAL LIST
YLR422W;n/a;DAB hyper responsive;JORGENSEN ORIGINAL LIST
YLR423C;APG17;DAB unresponsive;JORGENSEN ORIGINAL LIST
YLR452C;SST2;DAB responsive;JORGENSEN ORIGINAL LIST
YML014W;n/a;DAB responsive;JORGENSEN ORIGINAL LIST
YML061C;PIF1;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YML063W;RPS1B;NAM unresponsive;JORGENSEN ORIGINAL LIST
YML088W;n/a;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YML094W;GIM5;DAB responsive;JORGENSEN ORIGINAL LIST
YML112W;CTK3;n/a;JORGENSEN ORIGINAL LIST
YML122C;n/a;NAM responsive;JORGENSEN ORIGINAL LIST
YMR014W;n/a;DAB intermed responsive;JORGENSEN ORIGINAL LIST
YMR021C;MAC1;NAM responsive;JORGENSEN ORIGINAL LIST
YMR024W;MRPL3;n/a;JORGENSEN ORIGINAL LIST
YMR032W;HOF1;DAB unresponsive;JORGENSEN ORIGINAL LIST
