Regular name;ORF id;Polidity;Size;Function
CAP2;YIL034C;haploid;larger;Actin cytoskeleton
BEM2;YER155C;haploid;larger;Actin cytoskeleton
VID31;YKL054C;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
AKR1;YDR264C;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
MET7;YOR241W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
CYC8;YBR112C;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
REF2;YDR195W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
PRP18;YGR006W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
FAA3;YIL009W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
KEM1;YGL173C;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
SYG1;YIL047C;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
APG17;YLR423C;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
ADK1;YDR226W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
MOG1;YJR074W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
BUR2;YLR226W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
IMP2';YIL154C;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
ANP1;YEL036C;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
YDJ1;YNL064C;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
MNN10;YDR245W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
KEX2;YNL238W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
UBP3;YER151C;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
SST2;YLR452C;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
RCY1;YJL204C;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
PHM8;YER037W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
URA7;YBL039C;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
FAB1;YFR019W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
URE2;YNL229C;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
SEC66;YBR171W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
;YBR022W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
PMP1;YCR024C;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
RSG1;YCR027C;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
SHP1;YBL058W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
HOC1;YJR075W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
HCM1;YCR065W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
PLC1;YPL268W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
IRA2;YOL081W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
VPS34;YLR240W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
MRPL36;YBR122C;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
BUL1;YMR275C;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
LSM6;YDR378C;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
CWH8;YGR036C;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
ECM33;YBR078W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
PPH3;YDR075W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
SEC22;YLR268W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
DEG1;YFL001W;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
SHE4;YOR035C;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
PDE2;YOR360C;haploid;larger;Vesicular trafficking (including ER, Vacoule and Golgi function)
BUD32;YGR262C;haploid;larger;Unknown function
;YBL094C;haploid;larger;Unknown function
;YIL121W;haploid;larger;Unknown function
MRC1;YCL060C;haploid;larger;Unknown function
;YJR054W;haploid;larger;Unknown function
VID21;YDR359C;haploid;larger;Unknown function
KRE28;YDR532C;haploid;larger;Unknown function
;YML014W;haploid;larger;Unknown function
KRE22;YDR433W;haploid;larger;Unknown function
